time,latitude,longitude,biomass_kg_per_m,station
2021-04-21 00:00:00+00:00,17.939789,-67.04021,29.132812,ML1
2021-04-21 00:00:00+00:00,17.943748,-67.009384,15.75,C3_West
2021-04-21 00:00:00+00:00,17.9394,-67.04,0.0,ML2
2021-04-21 00:00:00+00:00,17.97034,-67.04777,0.0,G1
2021-04-21 00:00:00+00:00,17.942287,-67.07675,0.0,SC
2021-04-21 00:00:00+00:00,17.954287,-67.050186,11.6171875,E1
2021-04-21 00:00:00+00:00,17.943632,-67.00623,24.351562,C2_Center
2021-04-21 00:00:00+00:00,17.968758,-67.076935,4.6171875,MJ2
2021-04-21 00:00:00+00:00,17.972672,-67.06536,0.5,MJ3
2021-04-21 00:00:00+00:00,17.943077,-67.05644,0.0,L1
2021-04-21 00:00:00+00:00,17.944336,-67.002266,50.757812,C1_East
2021-04-21 00:00:00+00:00,17.973782,-67.06234,4.703125,MJ4
2021-04-27 00:00:00+00:00,17.943748,-67.009384,14.359375,C3_West
2021-04-27 00:00:00+00:00,17.9394,-67.04,0.921875,ML2
2021-04-27 00:00:00+00:00,17.939789,-67.04021,3.84375,ML1
2021-04-27 00:00:00+00:00,17.954287,-67.050186,6.1015625,E1
2021-04-27 00:00:00+00:00,17.97034,-67.04777,0.0,G1
2021-04-27 00:00:00+00:00,17.968758,-67.076935,1.71875,MJ2
2021-04-27 00:00:00+00:00,17.972672,-67.06536,0.0,MJ3
2021-04-27 00:00:00+00:00,17.943632,-67.00623,0.0,C2_Center
2021-04-27 00:00:00+00:00,17.973782,-67.06234,2.890625,MJ4
2021-04-27 00:00:00+00:00,17.943077,-67.05644,0.0,L1
2021-04-27 00:00:00+00:00,17.944336,-67.002266,24.140625,C1_East
2021-04-27 00:00:00+00:00,17.942287,-67.07675,6.90625,SC
2021-04-27 00:00:00+00:00,17.9392,-67.04,0.28125,ML3
2021-05-05 00:00:00+00:00,17.9394,-67.04,0.0,ML2
2021-05-05 00:00:00+00:00,17.943748,-67.009384,18.40625,C3_West
2021-05-05 00:00:00+00:00,17.939789,-67.04021,24.617188,ML1
2021-05-05 00:00:00+00:00,17.954287,-67.050186,0.7890625,E1
2021-05-05 00:00:00+00:00,17.942287,-67.07675,16.3125,SC
2021-05-05 00:00:00+00:00,17.9392,-67.04,0.0,ML3
2021-05-05 00:00:00+00:00,17.943077,-67.05644,0.0,L1
2021-05-05 00:00:00+00:00,17.968758,-67.076935,0.0,MJ2
2021-05-05 00:00:00+00:00,17.943632,-67.00623,0.0,C2_Center
