time,station,biomass_kg_per_m,biomass_t_r100,biomass_t_r250,biomass_t_r600,biomass_t_domain,biomass_t_r100_lag1w,biomass_t_r250_lag1w,biomass_t_r600_lag1w,biomass_t_domain_lag1w,biomass_t_r100_lag2w,biomass_t_r250_lag2w,biomass_t_r600_lag2w,biomass_t_domain_lag2w,biomass_t_r100_lag3w,biomass_t_r250_lag3w,biomass_t_r600_lag3w,biomass_t_domain_lag3w,latitude,longitude,biomass_t_r100_trend,biomass_t_r250_trend,biomass_t_r600_trend,biomass_t_domain_trend,doy_sin,doy_cos,doy_sin2,doy_cos2
2021-07-21 00:00:00+00:00,C2_Center,1.8203125,448527.39803291875,517777.5698696315,1349435.073623218,3553164.4429587955,,,,,118797.7094663792,306716.8636965002,868866.3806104002,1338870.467824688,303386.2107567496,647393.4356730416,1107179.8429940606,2018503.214846624,17.943632,-67.00623,,,,,-0.34336687399638804,-0.939201357453208,0.6449812683237445,0.7641983796838971
2021-07-21 00:00:00+00:00,C3_West,1.0390625,448252.6748830922,516302.0569758629,1348691.9803785786,3553164.4429587955,,,,,118797.7094663792,306716.8636965002,868866.3806104002,1338870.467824688,301413.7009558638,647393.4356730417,1107179.8429940606,2018503.214846624,17.943748,-67.009384,,,,,-0.34336687399638804,-0.939201357453208,0.6449812683237445,0.7641983796838971
2021-07-21 00:00:00+00:00,MJ2,35.617188,443597.57247657486,562090.220440027,1380622.0962732157,3553164.4429587955,,,,,127620.02748338993,317264.4938741002,876409.0924587421,1338870.467824688,285533.9015106856,652995.7621570969,1111608.158669797,2018503.214846624,17.968758,-67.076935,,,,,-0.34336687399638804,-0.939201357453208,0.6449812683237445,0.7641983796838971
2021-07-21 00:00:00+00:00,C1_East,0.0,447562.68269823,518381.7447874651,1350869.4238077854,3553164.4429587955,,,,,118629.39342900713,307000.3783027061,868866.3806104001,1338870.467824688,302960.4949693423,647393.4356730416,1107179.8429940606,2018503.214846624,17.944336,-67.002266,,,,,-0.34336687399638804,-0.939201357453208,0.6449812683237445,0.7641983796838971
2021-07-21 00:00:00+00:00,ML2,0.6171875,448991.2728765552,527764.8778936338,1362377.1101319094,3553164.4429587955,,,,,118395.88686632332,314071.01020104106,870657.5087096127,1338870.467824688,293116.7972374325,650029.5966074521,1108963.4344790468,2018503.214846624,17.9394,-67.04,,,,,-0.34336687399638804,-0.939201357453208,0.6449812683237445,0.7641983796838971
2021-07-21 00:00:00+00:00,MJ3,0.0,444098.15362386056,565610.9979332528,1385147.1237978677,3553164.4429587955,,,,,126581.25578631021,317712.9080615262,876409.0924587421,1338870.467824688,287405.72901053715,652995.7621570969,1111608.158669797,2018503.214846624,17.972672,-67.06536,,,,,-0.34336687399638804,-0.939201357453208,0.6449812683237445,0.7641983796838971
2021-07-21 00:00:00+00:00,SC,1.7734375,444623.8164638308,555538.0097739401,1385967.8516968456,3553164.4429587955,,,,,119762.48958197226,320798.40970321617,876414.0751686489,1338870.467824688,286695.5302799101,653225.8899942922,1112465.2445761191,2018503.214846624,17.942287,-67.07675,,,,,-0.34336687399638804,-0.939201357453208,0.6449812683237445,0.7641983796838971
2021-07-23 00:00:00+00:00,SC,0.0,444623.8164638308,555538.0097739401,1385967.8516968456,3553164.4429587955,,,,,119762.48958197226,320798.40970321617,876414.0751686489,1338870.467824688,286695.5302799101,653225.8899942922,1112465.2445761191,2018503.214846624,17.942287,-67.07675,,,,,-0.34336687399638804,-0.939201357453208,0.6449812683237445,0.7641983796838971
2021-07-23 00:00:00+00:00,MJ2,35.617188,443597.57247657486,562090.220440027,1380622.0962732157,3553164.4429587955,,,,,127620.02748338993,317264.4938741002,876409.0924587421,1338870.467824688,285533.9015106856,652995.7621570969,1111608.158669797,2018503.214846624,17.968758,-67.076935,,,,,-0.34336687399638804,-0.939201357453208,0.6449812683237445,0.7641983796838971
2021-07-23 00:00:00+00:00,E1,0.84375,444833.2362085746,531154.9786129426,1357099.728690128,3553164.4429587955,,,,,120572.48615551522,314489.6031087318,868944.1490045082,1338870.467824688,290943.70584956394,649799.4687702568,1108618.323312946,2018503.214846624,17.954287,-67.050186,,,,,-0.34336687399638804,-0.939201357453208,0.6449812683237445,0.7641983796838971
2021-07-23 00:00:00+00:00,C2_Center,0.0,448527.39803291875,517777.5698696315,1349435.073623218,3553164.4429587955,,,,,118797.7094663792,306716.8636965002,868866.3806104002,1338870.467824688,303386.2107567496,647393.4356730416,1107179.8429940606,2018503.214846624,17.943632,-67.00623,,,,,-0.34336687399638804,-0.939201357453208,0.6449812683237445,0.7641983796838971
