biomass_t_r100,biomass_t_r250,biomass_t_r600,biomass_t_domain,station,time,latitude,longitude
77500.22706863296,87950.05403180806,105839.3117519239,198785.8857058654,C1_East,2021-01-14,17.944336,-67.002266
74319.62770642331,91353.17652351785,109079.20792407576,198785.8857058654,MJ1,2021-01-14,17.967564,-67.07653
21899.578175672843,24927.51408800636,110903.40248405466,293260.86454422644,MJ3,2021-02-04,17.972672,-67.06536
21899.57817567284,24932.044217123188,110958.08174752168,293260.86454422644,SC,2021-02-04,17.942287,-67.07675
21899.578175672843,22021.440292135103,108708.7164837498,293260.86454422644,ML3,2021-02-04,17.9392,-67.04
21899.578175672843,22021.440292135103,108708.7164837498,293260.86454422644,ML2,2021-02-04,17.9394,-67.04
21899.578175672843,22021.440292135103,108708.7164837498,293260.86454422644,ML1,2021-02-04,17.939789,-67.04021
21899.578175672843,24927.51408800636,110903.40248405466,293260.86454422644,MJ4,2021-02-04,17.973782,-67.06234
21899.578175672843,24927.514088006363,110903.40248405466,293260.86454422644,MJ2,2021-02-04,17.968758,-67.076935
21899.578175672843,24927.51408800636,110903.40248405466,293260.86454422644,MJ1,2021-02-04,17.967564,-67.07653
21899.578175672843,22021.440292135107,108435.8705726076,293260.86454422644,E1,2021-02-04,17.954287,-67.050186
22193.438017801047,21805.741167228425,109169.35094397998,293260.86454422644,C3_West,2021-02-04,17.943748,-67.009384
22303.24494751227,21805.74116722843,109169.35094397998,293260.86454422644,C2_Center,2021-02-04,17.943632,-67.00623
22303.24494751227,21805.741167228425,109169.35094397998,293260.86454422644,C1_East,2021-02-04,17.944336,-67.002266
21899.578175672843,24932.044217123188,111146.93678847476,293260.86454422644,L1,2021-02-04,17.943077,-67.05644
21899.578175672843,22016.91016301828,108236.33286348668,293260.86454422644,G1,2021-02-04,17.97034,-67.04777
71475.52034260964,211064.2562200009,456707.9898862608,642908.5169096461,MJ3,2021-02-18,17.972672,-67.06536
71459.67155072412,210975.77546295893,466101.4514839696,642908.5169096461,ML2,2021-02-18,17.9394,-67.04
71459.67155072412,210975.77546295893,466101.4514839696,642908.5169096461,ML1,2021-02-18,17.939789,-67.04021
71842.21585600781,211072.18729599903,457095.3470985796,642908.5169096461,MJ4,2021-02-18,17.973782,-67.06234
